# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [0.95]
# Max mean shortest path [2.4]
# Range of value [1.45]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.30000    0.70690     0.70690        0.29310    0.90000
01.40000    0.65172     0.65172        0.34828    0.90000
01.00000    0.87241     0.87241        0.12759    0.90000
01.60000    0.54138     0.54138        0.45862    0.90000
00.95000    0.90000     0.90000        0.10000    0.90000
01.90000    0.37586     0.37586        0.62414    0.90000
01.40000    0.65172     0.65172        0.34828    0.90000
01.30000    0.70690     0.70690        0.29310    0.90000
01.90000    0.37586     0.37586        0.62414    0.90000
02.20000    0.21034     0.21034        0.78966    0.90000
01.40000    0.65172     0.65172        0.34828    0.90000
01.15000    0.78966     0.78966        0.21034    0.90000
01.40000    0.65172     0.65172        0.34828    0.90000
02.40000    0.10000     0.10000        0.90000    0.90000
01.70000    0.48621     0.48621        0.51379    0.90000
01.10000    0.81724     0.81724        0.18276    0.90000
01.25000    0.73448     0.73448        0.26552    0.90000
01.45000    0.62414     0.62414        0.37586    0.90000
02.40000    0.10000     0.10000        0.90000    0.90000
01.35000    0.67931     0.67931        0.32069    0.90000
