# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [0.95]
# Max mean shortest path [2.35]
# Range of value [1.4]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.10000    0.81429     0.81429        0.18571    0.90000
01.20000    0.75714     0.75714        0.24286    0.90000
01.65000    0.50000     0.50000        0.50000    0.90000
01.30000    0.70000     0.70000        0.30000    0.90000
01.45000    0.61429     0.61429        0.38571    0.90000
01.20000    0.75714     0.75714        0.24286    0.90000
00.95000    0.90000     0.90000        0.10000    0.90000
01.75000    0.44286     0.44286        0.55714    0.90000
01.90000    0.35714     0.35714        0.64286    0.90000
01.55000    0.55714     0.55714        0.44286    0.90000
01.10000    0.81429     0.81429        0.18571    0.90000
01.10000    0.81429     0.81429        0.18571    0.90000
01.80000    0.41429     0.41429        0.58571    0.90000
01.40000    0.64286     0.64286        0.35714    0.90000
01.40000    0.64286     0.64286        0.35714    0.90000
01.90000    0.35714     0.35714        0.64286    0.90000
01.55000    0.55714     0.55714        0.44286    0.90000
02.35000    0.10000     0.10000        0.90000    0.90000
01.40000    0.64286     0.64286        0.35714    0.90000
01.55000    0.55714     0.55714        0.44286    0.90000
