# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [0.95]
# Max mean shortest path [2.1]
# Range of value [1.15]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
00.95000    0.90000     0.90000        0.10000    0.90000
01.15000    0.76087     0.76087        0.23913    0.90000
01.35000    0.62174     0.62174        0.37826    0.90000
01.65000    0.41304     0.41304        0.58696    0.90000
02.05000    0.13478     0.13478        0.86522    0.90000
01.40000    0.58696     0.58696        0.41304    0.90000
01.45000    0.55217     0.55217        0.44783    0.90000
02.00000    0.16957     0.16957        0.83043    0.90000
01.70000    0.37826     0.37826        0.62174    0.90000
01.10000    0.79565     0.79565        0.20435    0.90000
01.40000    0.58696     0.58696        0.41304    0.90000
02.00000    0.16957     0.16957        0.83043    0.90000
01.30000    0.65652     0.65652        0.34348    0.90000
01.90000    0.23913     0.23913        0.76087    0.90000
01.90000    0.23913     0.23913        0.76087    0.90000
01.35000    0.62174     0.62174        0.37826    0.90000
01.20000    0.72609     0.72609        0.27391    0.90000
01.30000    0.65652     0.65652        0.34348    0.90000
01.45000    0.55217     0.55217        0.44783    0.90000
02.10000    0.10000     0.10000        0.90000    0.90000
