# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1]
# Max mean shortest path [2.4]
# Range of value [1.4]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.05000    0.87143     0.87143        0.12857    0.90000
01.35000    0.70000     0.70000        0.30000    0.90000
01.55000    0.58571     0.58571        0.41429    0.90000
01.20000    0.78571     0.78571        0.21429    0.90000
01.20000    0.78571     0.78571        0.21429    0.90000
01.65000    0.52857     0.52857        0.47143    0.90000
01.20000    0.78571     0.78571        0.21429    0.90000
01.50000    0.61429     0.61429        0.38571    0.90000
01.70000    0.50000     0.50000        0.50000    0.90000
01.00000    0.90000     0.90000        0.10000    0.90000
01.15000    0.81429     0.81429        0.18571    0.90000
01.60000    0.55714     0.55714        0.44286    0.90000
01.15000    0.81429     0.81429        0.18571    0.90000
02.40000    0.10000     0.10000        0.90000    0.90000
01.60000    0.55714     0.55714        0.44286    0.90000
01.40000    0.67143     0.67143        0.32857    0.90000
01.30000    0.72857     0.72857        0.27143    0.90000
01.95000    0.35714     0.35714        0.64286    0.90000
01.70000    0.50000     0.50000        0.50000    0.90000
02.00000    0.32857     0.32857        0.67143    0.90000
